mes,combustible_principal_litros,combustible_secundario_litros,kilometros_recorridos,vehiculos_grupo_a,vehiculos_grupo_b,vehiculos_grupo_c,vehiculos_grupo_d,vehiculos_grupo_e,vehiculos_grupo_f,viajes_largos
1,4340,390,21700,4,2,3,3,1,4,2
2,5970,280,29850,5,2,4,3,1,3,3
3,5890,240,29450,4,2,3,3,2,2,2
4,7630,350,38150,5,3,4,4,2,3,4
5,8260,690,41300,6,3,4,4,2,4,4
6,4681,450,23405,4,2,3,2,1,2,1
7,5500,200,27500,4,2,3,2,2,2,2
8,3640,120,18200,3,2,2,2,1,1,1
9,5740,320,28700,4,2,3,3,1,2,2
10,3800,460,34000,5,3,3,3,2,3,3
11,4250,549,26250,4,2,3,3,1,2,2
12,2542,368,22710,4,2,3,2,1,2,2
